Attribute,Days Before,Days After,Accuracy,Precision,Recall,F1 Score
aggressiveness,7,7,0.7751371115173674,0.7630272952853598,0.7755359394703657,0.7692307692307693
aggressiveness,7,14,0.7685774946921444,0.7539370078740157,0.8046218487394958,0.7784552845528455
aggressiveness,7,21,0.7633228840125392,0.758130081300813,0.7762747138397502,0.7670951156812339
aggressiveness,7,28,0.7586891757696127,0.7588294651866802,0.7527527527527528,0.7557788944723618
aggressiveness,14,7,0.7489711934156379,0.7437020810514786,0.7277599142550911,0.7356446370530877
aggressiveness,14,14,0.7464013547840813,0.7472527472527473,0.7466216216216216,0.7469370511195607
aggressiveness,14,21,0.7376395534290271,0.7576028622540251,0.686385737439222,0.7202380952380952
aggressiveness,14,28,0.7442371020856202,0.7224278312361214,0.7507692307692307,0.7363259147491512
aggressiveness,21,7,0.7354965585054081,0.7367864693446089,0.7068965517241379,0.7215320910973084
aggressiveness,21,14,0.7338772338772339,0.7215088282504013,0.7267582861762328,0.7241240434957712
aggressiveness,21,21,0.7191997191997191,0.7081236520488857,0.7142857142857143,0.7111913357400722
aggressiveness,21,28,0.7316129032258064,0.7219917012448133,0.7082767978290366,0.715068493150685
aggressiveness,28,7,0.7253886010362695,0.7218344965104686,0.7042801556420234,0.7129492860659773
aggressiveness,28,14,0.725864553314121,0.7111613876319759,0.7138531415594247,0.7125047223271629
aggressiveness,28,21,0.725632911392405,0.7264086897488119,0.6975228161668839,0.7116727635517126
aggressiveness,28,28,0.7357122135190021,0.715727002967359,0.7362637362637363,0.7258501354198015
sentiment,7,7,0.7968483816013628,0.8410504492052523,0.8312841530054644,0.8361387839230505
sentiment,7,14,0.7875457875457875,0.8042998897464168,0.8663895486935868,0.834190966266438
sentiment,7,21,0.8055264078349074,0.8223433242506812,0.8677400805060379,0.8444320089535533
sentiment,7,28,0.7828099173553719,0.8229744728079911,0.814387699066447,0.8186585702456528
sentiment,14,7,0.781617385108657,0.8235294117647058,0.820185614849188,0.8218541121766928
sentiment,14,14,0.769098712446352,0.7850333651096282,0.8222666000998502,0.803218727139722
sentiment,14,21,0.7739953928845662,0.7993920972644377,0.8138815207780725,0.8065717415115006
sentiment,14,28,0.7591258405379443,0.7638461538461538,0.8362105263157895,0.7983919597989949
sentiment,21,7,0.7811971592830571,0.8137769994162288,0.8095238095238095,0.8116448326055312
sentiment,21,14,0.7706398348813209,0.7804154302670623,0.8322784810126582,0.8055130168453293
sentiment,21,21,0.7698324022346369,0.7846268102487932,0.8244245025360906,0.8040334855403349
sentiment,21,28,0.7533825338253383,0.780250347705146,0.797158081705151,0.7886136004217186
sentiment,28,7,0.7544599416153097,0.8032691185055458,0.7661469933184856,0.7842690225135367
sentiment,28,14,0.7558416785884597,0.7689274447949527,0.8165829145728644,0.7920389926888709
sentiment,28,21,0.7444056661876411,0.7351567711807871,0.8301318267419963,0.7797629577215638
sentiment,28,28,0.745673438675696,0.7447980416156671,0.8245257452574526,0.7826366559485529
stance,7,7,0.727894257064722,0.7034339229968782,0.6842105263157895,0.6936890713186249
stance,7,14,0.7263643351268255,0.7148347425057648,0.7317073170731707,0.7231726283048211
stance,7,21,0.7197544239797761,0.7232202262142382,0.751209398756047,0.736949152542373
stance,7,28,0.7218150087260035,0.7147239263803681,0.7782231128924516,0.7451231212024305
stance,14,7,0.740597539543058,0.7160766961651918,0.7333836858006042,0.7246268656716418
stance,14,14,0.7047091412742382,0.6885330578512396,0.7422048997772829,0.7143622722400857
stance,14,21,0.7180124223602484,0.7178819444444444,0.7732585320243104,0.7445419761422463
stance,14,28,0.7122553588070829,0.7083172147001934,0.791955017301038,0.7478047784357769
stance,21,7,0.7160655737704918,0.6957417582417582,0.7054317548746518,0.7005532503457814
stance,21,14,0.7098917322834646,0.7050734945471787,0.7274951076320939,0.7161088369853118
stance,21,21,0.710594315245478,0.707532667179093,0.7594884488448845,0.7325905292479109
stance,21,28,0.705050505050505,0.7071158473702304,0.7718574108818012,0.7380696088984572
stance,28,7,0.7332928311057109,0.7453416149068323,0.6796727501573316,0.7109940750493746
stance,28,14,0.7225305216426193,0.7049900199600798,0.7755819060166886,0.7386030949393558
stance,28,21,0.7253480831584971,0.7120543293718167,0.779843808107103,0.744408945686901
stance,28,28,0.7280349344978166,0.7336309523809523,0.7882954908858331,0.7599815014644674
